trialnum	session	basicShape	numObjects	speed	initialDirRing0	fixatnPeriodFrames	orderCorrect	trialDurTotal	numTargets	offset	whichIsTargetEachRing0	ringToQuery	direction0	respAdj0	rev0_0	rev0_1	rev0_2	rev0_3	rev0_4	rev0_5	rev0_6	rev0_7	rev0_8	timingBlips	numLongFramesAfterFixation	numLongFramesAfterCue	IDnum	sessionNum	comment	pTrialsLotsTimingBlips	pTrialsBlipsAfterFixatn	pTrialsLongFramesAfterCue	EDFmatchExists
88	1	ellipse	6	0.02	1	78	3	4.016072895885541	1	[10,	0]	3	0	1	0	1.841	2.7009	4.588	-999	-999	-999	-999	-999	-999	0	0	03	1	None	0	0.09375	0.0625	TRUE
89	1	ellipse	6	0.1	-1	107	3	3.3552471373175963	1	[-10,	0]	3	0	-1	-0	2.4223	2.9661	4.5484	-999	-999	-999	-999	-999	-999	0	0	03	1	None	0	0.09375	0.0625	TRUE
90	1	ellipse	4	0.1	-1	104	3	3.327494900117534	1	[10,	0]	0	0	-1	0	2.2628	3.9738	-999	-999	-999	-999	-999	-999	-999	0	0	03	1	None	0	0.09375	0.0625	TRUE
91	1	ellipse	6	0.6111111111111285	1	109	3	3.669116004111708	1	[10,	0]	4	0	1	0	2.3757	3.4012	4.4668	-999	-999	-999	-999	-999	-999	0	0	03	1	None	0	0.09375	0.0625	TRUE
92	1	ellipse	6	0.6611111111111256	-1	86	3	3.660144161371336	1	[-10,	0]	2	0	-1	0	1.7083	2.5695	3.3712	4.8056	-999	-999	-999	-999	-999	0	0	03	1	None	0	0.09375	0.0625	TRUE
93	1	ellipse	4	0.9611111111111086	1	97	3	3.8126362863009327	1	[10,	0]	2	0	1	-0	2.8653	4.8364	-999	-999	-999	-999	-999	-999	-999	0	0	03	1	None	0	0.09375	0.0625	TRUE
94	1	ellipse	6	0.6611111111111256	1	92	3	5.521587429122687	1	[-10,	0]	1	0	1	-0	3.1247	4.3391	5.5319	6.5439	-999	-999	-999	-999	-999	1	1	03	1	None	0	0.09375	0.0625	TRUE
95	1	ellipse	6	0.6611111111111256	-1	85	3	4.972382798064269	1	[-10,	0]	5	0	-1	0	2.6413	3.6755	4.4174	5.2047	6.5852	-999	-999	-999	-999	1	1	03	1	None	0	0.09375	0.0625	TRUE
96	1	ellipse	6	0.7111111111111228	-1	68	3	4.376823086549813	1	[10,	0]	4	0	-1	-0	2.9548	3.6969	5.0192	-999	-999	-999	-999	-999	-999	0	0	03	1	None	0	0.09375	0.0625	TRUE
97	1	ellipse	4	1.0111111111111055	-1	110	3	4.010008001200399	1	[-10,	0]	3	0	-1	-0	3.1503	3.8399	5.4688	-999	-999	-999	-999	-999	-999	0	0	03	1	None	0	0.09375	0.0625	TRUE
98	1	ellipse	6	0.7111111111111228	1	68	3	4.631682783125621	1	[-10,	0]	5	0	1	-0	1.9099	3.3112	4.3874	5.5565	-999	-999	-999	-999	-999	0	0	03	1	None	0	0.09375	0.0625	TRUE
99	1	ellipse	4	1.0111111111111055	-1	100	3	4.714524642685253	1	[10,	0]	1	0	-1	-0	3.0174	3.9198	5.1464	-999	-999	-999	-999	-999	-999	0	0	03	1	None	0	0.09375	0.0625	TRUE
100	1	ellipse	4	1.0111111111111055	-1	77	3	4.542321020506612	1	[-10,	0]	0	0	-1	-0	2.598	3.3548	5.1307	-999	-999	-999	-999	-999	-999	0	0	03	1	None	0	0.09375	0.0625	TRUE
101	1	ellipse	4	0.02	-1	101	3	3.952760241195717	1	[-10,	0]	1	0	-1	-0	2.1578	2.6867	4.6252	-999	-999	-999	-999	-999	-999	0	0	03	1	None	0	0.09375	0.0625	TRUE
102	1	ellipse	6	0.7111111111111228	-1	71	3	3.8848820629202807	1	[-10,	0]	0	0	-1	-0	1.7848	3.349	4.2179	-999	-999	-999	-999	-999	-999	0	0	03	1	None	0	0.09375	0.0625	TRUE
103	1	ellipse	4	1.061111111111103	-1	89	3	5.394874899204651	1	[-10,	0]	2	0	-1	-0	2.3052	3.383	4.329	4.8876	6.1304	-999	-999	-999	-999	0	0	03	1	None	0	0.09375	0.0625	TRUE
104	1	ellipse	4	1.061111111111103	1	75	3	5.222973325414584	1	[-10,	0]	1	0	1	-0	2.6077	3.3031	4.4859	5.9205	-999	-999	-999	-999	-999	0	0	03	1	None	0	0.09375	0.0625	TRUE
105	1	ellipse	4	1.061111111111103	1	101	3	3.3646074601168903	1	[-10,	0]	1	0	1	0	2.0852	2.733	3.9927	-999	-999	-999	-999	-999	-999	0	0	03	1	None	0	0.09375	0.0625	TRUE
106	1	ellipse	6	0.76111111111112	1	84	3	3.6773159114705942	1	[10,	0]	2	0	1	0	2.7139	3.5291	4.9095	-999	-999	-999	-999	-999	-999	0	0	03	1	None	0	0.09375	0.0625	TRUE
107	1	ellipse	4	1.1111111111111	-1	105	3	3.202136902357917	1	[10,	0]	0	0	-1	0	1.9492	3.5541	-999	-999	-999	-999	-999	-999	-999	0	0	03	1	None	0	0.09375	0.0625	TRUE
108	1	ellipse	6	0.76111111111112	1	86	0	4.879721002870513	1	[10,	0]	5	0	1	-1	2.3144	3.9422	5.4594	-999	-999	-999	-999	-999	-999	0	0	03	1	None	0	0.09375	0.0625	TRUE
109	1	ellipse	4	1.1111111111111	1	82	0	3.406312536284687	1	[-10,	0]	1	0	1	2	2.2235	3.0388	3.6703	4.7578	-999	-999	-999	-999	-999	0	0	03	1	None	0	0.09375	0.0625	TRUE
110	1	ellipse	6	0.1	-1	75	3	3.5819199022158017	1	[10,	0]	0	0	-1	0	3.0674	4.4278	-999	-999	-999	-999	-999	-999	-999	0	0	03	1	None	0	0.09375	0.0625	TRUE
111	1	ellipse	6	0.7111111111111228	1	92	3	4.558418087482092	1	[-10,	0]	4	0	1	0	2.2305	3.9807	4.6728	6.2962	-999	-999	-999	-999	-999	0	0	03	1	None	0	0.09375	0.0625	TRUE
