TrialNumber	basicShape	numObjectsInRing	speed	initialDirRing0	numTargets	whichIsTargetEachRing	ringToQuery	ran	order	speedThisTrial	orderCorrect	correctForFeedback
295	circle	4	staircase	1	3	[3. 1. 3.]	2	1.0	294.0	0.44570312500002274	3.0	1.0
296	circle	4	staircase	-1	3	[3. 0. 1.]	0	1.0	295.0	0.44570312500002274	3.0	1.0
297	circle	8	[0.02, 0.1]	1	3	[1. 6. 1.]	1	1.0	296.0	0.02	3.0	1.0
298	circle	4	staircase	1	3	[2. 0. 3.]	1	1.0	297.0	0.4957031250000199	3.0	1.0
299	circle	8	staircase	1	2	[3. 4. 7.]	1	1.0	298.0	0.39570312500001137	0.0	0.0
300	circle	4	staircase	-1	2	[3. 2. 2.]	1	1.0	299.0	1.0000000000000142	3.0	1.0
301	circle	8	staircase	-1	2	[4. 4. 7.]	2	1.0	300.0	0.3457031250000142	3.0	1.0
302	circle	8	staircase	1	2	[4. 4. 7.]	2	1.0	301.0	0.3457031250000142	3.0	1.0
303	circle	8	staircase	1	3	[7. 2. 0.]	2	1.0	302.0	0.39570312500001137	3.0	1.0
304	circle	4	[0.02, 0.1]	-1	2	[3. 1. 2.]	2	1.0	303.0	0.1	3.0	1.0
305	circle	4	staircase	1	2	[2. 0. 1.]	2	1.0	304.0	1.0000000000000142	3.0	1.0
306	circle	4	[0.02, 0.1]	1	3	[0. 2. 3.]	1	1.0	305.0	0.02	3.0	1.0
307	circle	4	staircase	1	2	[3. 2. 2.]	2	1.0	306.0	1.0000000000000142	3.0	1.0
308	circle	8	staircase	-1	3	[3. 3. 1.]	1	1.0	307.0	0.39570312500001137	3.0	1.0
309	circle	4	staircase	1	3	[3. 0. 1.]	1	1.0	308.0	0.4957031250000199	3.0	1.0
310	circle	4	staircase	-1	2	[0. 3. 0.]	0	1.0	309.0	1.0500000000000114	3.0	1.0
311	circle	8	staircase	1	3	[4. 5. 1.]	2	1.0	310.0	0.39570312500001137	0.0	0.0
312	circle	4	staircase	-1	3	[3. 1. 3.]	2	1.0	311.0	0.4957031250000199	3.0	1.0
313	circle	8	[0.02, 0.1]	-1	2	[5. 7. 6.]	2	1.0	312.0	0.02	3.0	1.0
314	circle	8	[0.02, 0.1]	-1	3	[1. 6. 1.]	1	1.0	313.0	0.02	3.0	1.0
315	circle	8	staircase	-1	2	[3. 4. 7.]	2	1.0	314.0	0.3457031250000142	3.0	1.0
316	circle	8	staircase	-1	3	[7. 2. 0.]	1	1.0	315.0	0.3457031250000142	0.0	0.0
317	circle	4	staircase	-1	3	[2. 0. 3.]	2	1.0	316.0	0.545703125000017	3.0	1.0
318	circle	4	staircase	-1	2	[2. 0. 1.]	2	1.0	317.0	1.0500000000000114	0.0	0.0
319	circle	8	[0.02, 0.1]	1	2	[5. 7. 6.]	2	1.0	318.0	0.02	3.0	1.0
320	circle	8	staircase	-1	3	[4. 5. 1.]	2	1.0	319.0	0.29570312500001705	3.0	1.0
