comment	nrows	pTrialsLotsTimingBlips	pTrialsBlipsAfterFixatn	pTrialsBlipsAfterCue	pTrialsLotsAfterCue	ID.x	IDnum	session	IDvalid	firstLetter	EDFmatchExists	EDF_name	EDF_suffix	file_size	ID.y	noSessionID	sessionNum	EDFreadError
None	120	0.125	NA	NA	NA	S39	39	3	TRUE	S	TRUE	S393	EDF	11161600	39	FALSE	3	TRUE
None	120	0.08333333333333333	NA	NA	NA	S45	45	1	TRUE	S	TRUE	S451	EDF	11162581	45	FALSE	1	FALSE
None	120	0.175	NA	NA	NA	S45	45	2	TRUE	S	TRUE	S452	EDF	11380539	45	FALSE	2	FALSE
None	120	0.08333333333333333	NA	NA	NA	S45	45	3	TRUE	S	TRUE	S453	EDF	11340859	45	FALSE	3	FALSE
None	120	0.008333333333333333	0	0	0	S75	75	a	TRUE	S	TRUE	S75a	EDF	11326244	75	FALSE	1	FALSE
None	120	0	0	0	0	S75	75	b	TRUE	S	TRUE	S75b	EDF	11286101	75	FALSE	2	FALSE
None	120	0.016666666666666666	0	0	0	S75	75	c	TRUE	S	TRUE	S75c	EDF	11359492	75	FALSE	3	TRUE
None	120	0.06666666666666667	0	0	0	S88	88	a	TRUE	S	TRUE	S88a	EDF	2911133	88	FALSE	1	FALSE
None	120	0.008333333333333333	0	0	0	S88	88	b	TRUE	S	TRUE	S88b	EDF	2920379	88	FALSE	2	FALSE
None	120	0.18333333333333332	0.008333333333333333	0	0	S88	88	c	TRUE	S	TRUE	S88c	EDF	4224593	88	FALSE	3	TRUE
None	120	0.15833333333333333	NA	NA	NA	T41	41	1	TRUE	T	TRUE	T411	EDF	11328665	41	FALSE	1	FALSE
None	120	0.125	NA	NA	NA	T41	41	2	TRUE	T	TRUE	T412	EDF	11425635	41	FALSE	2	FALSE
None	120	0.14166666666666666	NA	NA	NA	T41	41	3	TRUE	T	TRUE	T413	EDF	11305666	41	FALSE	3	FALSE
None	120	0.06666666666666667	0	0	0	T52	52	a	TRUE	T	FALSE	NA	NA	NA	NA	NA	1	FALSE
None	120	0.175	0	0	0	T52	52	b	TRUE	T	FALSE	NA	NA	NA	NA	NA	2	FALSE
None	120	0.1	0	0	0	T52	52	c	TRUE	T	FALSE	NA	NA	NA	NA	NA	3	FALSE
None	120	0.11666666666666667	0	0	0	W78	78	a	TRUE	W	TRUE	W78a	EDF	2956803	78	FALSE	1	FALSE
None	120	0.05	0	0	0	W78	78	b	TRUE	W	TRUE	W78b	EDF	2937988	78	FALSE	2	FALSE
None	120	0.11666666666666667	0	0	0	W78	78	c	TRUE	W	TRUE	W78c	EDF	2960445	78	FALSE	3	TRUE
None	120	0.10833333333333334	0	0	0	W82	82	a	TRUE	W	TRUE	W82a	EDF	2985269	82	FALSE	1	FALSE
None	120	0.03333333333333333	0.008333333333333333	0	0	W82	82	b	TRUE	W	TRUE	W82b	EDF	2953098	82	FALSE	2	FALSE
None	120	0.016666666666666666	0.016666666666666666	0.016666666666666666	0	W82	82	c	TRUE	W	TRUE	W82c	EDF	3275926	82	FALSE	3	FALSE
None	120	0.09166666666666666	0.008333333333333333	0	0	W87	87	a	TRUE	W	TRUE	W87a	EDF	2939647	87	FALSE	1	FALSE
None	120	0.041666666666666664	0	0	0	W87	87	b	TRUE	W	TRUE	W87b	EDF	3015794	87	FALSE	2	FALSE
None	120	0.016666666666666666	0	0	0	W87	87	c	TRUE	W	TRUE	W87c	EDF	4494220	87	FALSE	3	TRUE
None	120	0.20833333333333334	NA	NA	NA	Y48	48	1	TRUE	Y	TRUE	Y481	EDF	11268996	48	FALSE	1	FALSE
None	120	0.225	NA	NA	NA	Y48	48	2	TRUE	Y	TRUE	Y482	EDF	11305938	48	FALSE	2	FALSE
None	120	0.20833333333333334	NA	NA	NA	Y48	48	3	TRUE	Y	TRUE	Y483	EDF	11409161	48	FALSE	3	FALSE
None	120	0.1	NA	NA	NA	Y49	49	a	TRUE	Y	TRUE	Y49a	EDF	11172785	49	FALSE	1	FALSE
None	120	0.08333333333333333	NA	NA	NA	Y49	49	b	TRUE	Y	TRUE	Y49b	EDF	11309366	49	FALSE	2	FALSE
None	120	0.1	NA	NA	NA	Y49	49	c	TRUE	Y	TRUE	Y49c	EDF	11297761	49	FALSE	3	FALSE
None	120	0.03333333333333333	0	0	0	Y71	71	a	TRUE	Y	TRUE	Y71a	EDF	11334785	71	FALSE	1	FALSE
None	120	0	0	0	0	Y71	71	b	TRUE	Y	TRUE	Y71b	EDF	11157196	71	FALSE	2	FALSE
None	120	0	0	0	0	Y71	71	c	TRUE	Y	TRUE	Y71c	EDF	11458290	71	FALSE	3	FALSE
